birthtime,lifetime,ticket
0.29176122,0.039256364,2
0.084827006,0.00404302,2
0.229689464,0.042005464,2
0.25136444,0.538590699,1
0.156794056,0.559061483,1
0.173969135,0.500496104,1
0.128712252,0.756898269,1
0.073081456,0.269527026,1
0.280459732,0.552657276,1
0.234472215,1.324539959,1
0.127964124,0.225550488,1
0.27484417,1.028338909,1
0.415249974,0.704769343,1
0.176113799,0.55818443,1
0.210339218,0.572361559,1
0.375737339,0.305495948,1
0.195492908,0.35191752,1
1.048272729,0.354222178,1
0.261564255,1.229796886,1
0.127998009,1.073882923,1
0.156118631,0.616426587,1
0.270667255,1.074809849,1
0.570649624,0.791819692,1
0.244807169,1.735052779,1
0.141943946,0.59407191,1
0.236929715,1.514953673,1
0.556779146,0.546231508,1
0.46691063,0.676658005,1
0.232499465,0.558324471,1
0.118455552,0.578113355,1
0.120178297,0.442438409,1
0.383253425,0.746011049,1
0.42696768,1.050958574,1
0.389433622,1.009114385,1
0.475225866,0.589590013,1
0.216894373,0.368860736,1
0.100857787,0.751186557,1
0.180569515,0.446132556,1
0.470223516,0.990077168,1
0.206136048,0.726203382,1
0.163413882,0.602956951,1
0.217835233,0.902724817,1
0.159335166,0.554690152,1
0.436850339,0.841042966,1
0.091876708,0.052088447,1
0.264053792,0.550239533,1
0.871244609,0.394131362,1
0.160278112,0.820089668,1
0.258390248,0.662280917,1
0.258417964,0.473635912,1
0.924889505,0.782930791,1
0.552346528,1.181878269,1
1.011676073,1.297832489,1
0.292898387,1.227638036,1
0.16714935,1.0000083,1
0.324986756,1.211989224,1
0.878402054,0.464585125,1
0.274759829,0.472806096,1
0.265819281,1.089419156,1
0.371049494,0.268255681,1
0.238605201,0.020300895,2
0.286235124,0.036559552,2
0.108474992,0.017537184,2
0.190977633,0.01089111,2
0.076974787,0.001127049,2
0.129069358,0.021112323,2
0.177819207,0.060125768,2
0.066821538,0.063678332,2
0.13338995,0.037369296,2
0.155486807,0.023142427,2
0.157225311,0.060459897,2
0.146739408,0.022355899,2
0.025457224,0.029749358,2
0.565353036,0.039468944,2
0.201215968,0.045094877,2
0.200265944,0.019294038,2
0.003568406,7.24E-05,2
0.343109816,0.023385227,2
0.426495641,0.053987205,2
0.379612625,0.041599303,2
0.277936965,0.048819751,2
0.08932291,0.011642173,2
0.226534218,0.040260196,2
0.362644404,0.041196227,2
0.149786755,0.015675649,2
0.064282767,0.027454928,2
